"location_id","region","locationPeriod_id","admin_level"
"10322","CT-World::AFR::GIN::GN-N::Macenta","4840","admin2"
"10323","CT-World::AFR::BDI::BI-MW::Bisoro::Rubamvye","11279","admin3"
"10324","CT-World::AFR::MLI::ML-1::Bafoulabe::Mahina::Niambia","1840","admin4"
"10326","CT-World::EMR::AFG::AF-WAR::ChakiWardak","7450","admin2"
"10330","CT-World::AFR::GHA::GH-WP::Juabeso","7796","admin2"
"10331","CT-World::AFR::BDI::BI-KI::Bwambarangwe::Bugorora","1063","admin3"
"10332","CT-World::AFR::SEN::Fatick::Gossas::Colobane","5182","admin3"
"10333","CT-World::AFR::BDI::BI-GI::Gishubi::Cimba","653","admin3"
"10334","CT-World::AFR::BDI::BI-MW::Bisoro::Kariba","9535","admin3"
"10335","CT-World::AFR::AGO::Bengo::Nambuangongo","1041","admin2"
"10336","CT-World::AFR::MDG::MG-A::Alaotra-Mangoro::Amparafaravola","443","admin3"
"10337","CT-World::EMR::SDN::CentralEquatoria::Juba","4251","admin2"
"10338","CT-World::AFR::BDI::BI-RY::Bweru::Kanisha","2229","admin3"
"10339","CT-World::AFR::MLI::ML-7::Gao::Djebock::Anchawadi","6925","admin4"
"1034","CT-World::EMR::AFG::AF-BDS::Tashkan","2065","admin2"
"10340","CT-World::EMR::PAK::PK-SD::Khairpur","285","admin2"
"10342","CT-World::AFR::COD::Kasai-Occidental::Kalomda","9669","admin2"
"10344","CT-World::EMR::YEM::Amran::Thula","3550","admin2"
"10345","CT-World::AFR::ZAF::KwaZulu-Natal::iLembe","2467","admin2"
"10346","CT-World::EMR::YEM::Sanaa::Khwlan","3688","admin2"
"10347","CT-World::AFR::COD::Bandundu::Penzwa","7347","admin2"
"10348","CT-World::AFR::NGA::Niger::Dokogi","8214","admin2"
"10349","CT-World::AFR::ETH::ET-SN::BenchMaji::Surma","4773","admin3"
"1035","CT-World::AFR::BDI::BI-KY::Kabarore::Kidunduri","7014","admin3"
"10351","CT-World::AFR::ETH::ET-SN::GamoGofa::GezeGofa","6233","admin3"
"10352","CT-World::EMR::PAK::Khyber Pakhtunkhwa::Charsadda","8770","admin2"
"10353","CT-World::AFR::BDI::BI-MU::Bukeye::Kivogero","1316","admin3"
"10354","CT-World::AFR::ETH::ET-OR::MirabHararghe::ChiroZuria","7153","admin3"
"10355","CT-World::AFR::COD::Equateur::Djolu","5152","admin2"
