country,current_rates_mean,current_cases_mean,lancet_rates_mean,lancet_cases_mean,current_rates_quantile_low,current_cases_quantile_low,lancet_rates_quantile_low,lancet_cases_quantile_low,current_rates_quantile_high,current_cases_quantile_high,lancet_rates_quantile_high,lancet_cases_quantile_high
SLE,9.83E-08,0.744599046,0.001736464,13152.75599,6.38E-79,4.83E-72,0.001726597,13078.01529,4.79E-08,0.36281783,0.001746623,13229.70587
SOM,0.001525907,22495.72634,0.001492716,22159.68762,0.000335116,4940.453132,0.001486838,22072.42046,0.00521532,76886.96863,0.001498381,22243.78952
SSD,0.000498293,6266.384633,0.000413024,4524.547352,1.84E-10,0.00231891,0.000406576,4453.914041,0.001529981,19240.60553,0.000419408,4594.482762
SWZ,5.16E-07,0.5836936,5.16E-07,0.5836936,5.16E-07,0.5836936,5.16E-07,0.5836936,5.16E-07,0.5836936,5.16E-07,0.5836936
TCD,2.40E-05,357.6622955,0.000583175,8904.162491,4.14E-11,0.000616331,0.000578548,8833.509769,0.00010767,1604.27646,0.000587846,8975.470488
TGO,1.18E-06,9.180302708,1.33E-05,104.0546219,1.66E-45,1.29E-38,1.25E-05,97.66375292,7.52E-06,58.65523818,1.42E-05,110.7908488
TZA,0.000212391,12172.12274,0.000151028,8398.421308,3.93E-05,2254.379226,0.000149549,8316.191138,0.000596225,34169.65523,0.000152196,8463.356677
UGA,3.96E-05,1699.355781,2.71E-05,1136.649161,1.13E-05,485.4122327,2.67E-05,1119.360159,8.86E-05,3797.958956,2.75E-05,1154.02091
ZAF,8.13E-07,46.6405876,1.07E-06,61.07591624,3.74E-14,2.15E-06,6.47E-07,37.08121577,8.16E-06,467.9881162,1.50E-06,86.20073195
ZMB,0.000110416,1887.468529,0.000134095,2297.266138,1.81E-06,30.99037771,0.000131358,2250.386508,0.000245743,4200.755506,0.00013685,2344.464327
ZWE,0.000132625,2192.285547,3.23E-05,463.0868469,0,0,3.14E-05,449.9131659,0.000654909,10825.57973,3.33E-05,477.009232
GIN,8.00E-08,1.017551922,0.000229606,2813.755,4.07E-10,0.005172987,0.000182363,2234.801,6.27E-08,0.796885606,0.000256567,3144.157
ZNZ,0.001303276,891.0326277,NA,NA,0,0,NA,NA,0.003759023,2569.995177,NA,NA
TZA_M,0.00019922,11281.09011,NA,NA,3.98E-05,2254.379226,NA,NA,0.000585677,33164.74657,NA,NA
